,Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
SR,0.819672131147541,0.673469387755102,0.5409836065573771,0.6,0.7267759562841529,0.6244612311108747
US,0.8278688524590164,0.5979381443298969,0.9508196721311475,0.7341772151898734,0.9127474693182835,0.6629927337303256
OD,0.8278688524590164,0.5979381443298969,0.9508196721311475,0.7341772151898734,0.8854250649466988,0.6482692191859897
SMOTE,0.8319672131147541,0.6041666666666666,0.9508196721311475,0.7388535031847132,0.9135984950282182,0.6644119638059469
CR,0.8360655737704918,0.6129032258064516,0.9344262295081968,0.7402597402597403,0.8688524590163934,0.6410137071508015
